"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J1,J3,J2";"WAGO-250-206";3;"WAGO 250-206";;;
2;"D2,D10,D12,D18,D3,D5,D13,D4,D11";"D_SOD-323";9;"LY323DC24";;;
3;"D28,D31,D34,D27,D35,D33,D30,D39,D37,D29,D38,D32,D41,D40,D26,D36";"D_SOD-523";16;"D";;;
4;"D24,D7,D22,D9,D16,D25,D8,D23,D17,D14,D15,D6";"D_SMB";12;"SS24B";;;
5;"R8,R38,R21,R39,R5,R10,R29,R9,R45,R7,R31,R12,R11,R13,R30,R26,R27,R42,R3,R19,R33,R44,R32,R41,R6,R28,R40,R43";"R_0402_1005Metric";28;"10k";;;
6;"R60,R54,R17,R55,R20,R49,R66,R52,R64,R56,R47,R18,R16,R46,R57,R63,R68,R15,R50,R48,R14,R62,R65,R58";"R_0402_1005Metric";24;"2k2";;;
7;"R22,R4,R2,R24,R36,R34";"R_0402_1005Metric";6;"120";;;
8;"U3,U7,U8,U4,U2,U6,U5";"SOP-16_4.4x10.4mm_P1.27mm";7;"LTV-247";;;
9;"H3,H1,H2";"MountingHole_3.2mm_M3_DIN965";3;"MountingHole";;;
10;"Q4,Q6,Q1,Q5,Q2,Q3";"SO-8_3.9x4.9mm_P1.27mm";6;"IRF7343";;;
11;"C3,C2,C4,C1";"C_0805_2012Metric";4;"100n/50V";;;
12;"D1";"LED_0603_1608Metric";1;"LED";;;
13;"U10,U9";"SOP-8_3.9x4.9mm_P1.27mm";2;"COS2171";;;
14;"R1";"R_0402_1005Metric";1;"470";;;
15;"U1";"RPi_Pico_SMDonly";1;"Pico";;;
